Id,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,remodel,pud,TotalPorchSF,NeighborhoodCode
1,0,8450,0,0,0,0,0,0,0,0,0,0,7,5,2003,2003,0,0,0,0,0,196.0,0,0,0,0,0,0,0,706,0,0,150,856,0,0,0,0,856,854,0,1710,1,0,2,1,3,1,0,8,0,0,0,0,0,0,2,548,0,0,0,0,61,0,0,0,0,0,2,2008,0,0,7.910829523585737,0,0,61,2
2,0,9600,0,0,0,1,0,1,1,0,0,1,6,8,1976,1976,0,0,1,1,1,0.0,1,0,1,0,0,1,1,978,0,0,284,1262,0,0,0,0,1262,0,0,1262,0,1,2,0,3,1,1,6,0,1,1,0,1,0,2,460,0,0,0,298,0,0,0,0,0,0,5,2007,0,0,7.856833043382674,0,0,0,2
3,0,11250,0,1,0,0,0,0,0,0,0,0,7,5,2001,2002,0,0,0,0,0,162.0,0,0,0,0,0,2,0,486,0,0,434,920,0,0,0,0,920,866,0,1786,1,0,2,1,3,1,0,6,0,1,1,0,2,0,2,608,0,0,0,0,42,0,0,0,0,0,9,2008,0,0,7.937661369910975,1,0,42,2
4,0,9550,0,1,0,2,0,2,0,0,0,0,7,5,1915,1970,0,0,2,2,1,0.0,1,0,2,1,1,0,1,216,0,0,540,756,0,1,0,0,961,756,0,1717,1,0,1,0,3,1,0,7,0,1,2,1,3,1,3,642,0,0,0,0,35,272,0,0,0,0,2,2006,0,1,7.754179935083592,1,0,307,2
5,0,14260,0,1,0,1,0,3,0,0,0,0,8,5,2000,2000,0,0,0,0,0,350.0,0,0,0,0,0,3,0,655,0,0,490,1145,0,0,0,0,1145,1053,0,2198,1,0,2,1,4,1,0,9,0,1,1,0,4,0,3,836,0,0,0,192,84,0,0,0,0,0,12,2008,0,0,7.98063441644744,0,0,84,3
6,0,14115,0,1,0,0,0,4,0,0,0,2,5,5,1993,1995,0,0,0,0,1,0.0,1,0,3,0,0,0,0,732,0,0,64,796,0,0,0,0,796,566,0,1362,1,0,1,1,1,1,1,5,0,0,0,0,5,1,2,480,0,0,0,40,30,0,320,0,0,700,10,2009,0,0,7.76264107716012,1,0,350,1
7,0,10084,0,0,0,0,0,5,0,0,0,1,8,5,2004,2005,0,0,0,0,2,186.0,0,0,0,2,0,3,0,1369,0,0,317,1686,0,0,0,0,1694,0,0,1694,1,0,2,0,3,1,0,7,0,1,2,0,6,0,2,636,0,0,0,255,57,0,0,0,0,0,8,2007,0,0,8.058442188254586,1,0,57,2
8,0,10382,0,1,0,2,0,6,2,0,0,0,7,6,1973,1973,0,0,3,3,2,240.0,1,0,1,0,0,2,1,859,1,32,216,1107,0,0,0,0,1107,983,0,2090,1,0,2,1,3,1,1,7,0,2,1,0,7,0,2,484,0,0,0,235,204,228,0,0,0,350,11,2009,0,0,7.8946849656904075,0,0,432,2
9,1,6120,0,0,0,0,0,7,3,0,0,2,7,5,1931,1950,0,0,4,2,1,0.0,1,0,2,1,0,0,2,0,0,0,952,952,0,1,0,1,1022,752,0,1774,0,0,2,0,2,2,1,8,1,2,1,1,8,1,2,468,1,0,0,90,0,205,0,0,0,0,4,2008,0,1,7.724187220106891,1,0,205,1
10,0,7420,0,0,0,2,0,8,3,1,1,3,5,6,1939,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,0,851,0,0,140,991,0,0,0,0,1077,0,0,1077,1,0,1,0,2,2,1,5,0,2,1,0,9,0,1,205,2,0,0,0,4,0,0,0,0,0,1,2008,0,0,7.685445886185213,1,0,4,1
11,0,11200,0,0,0,0,0,9,0,0,0,1,5,5,1965,1965,1,0,3,3,1,0.0,1,0,1,1,0,0,3,906,0,0,134,1040,0,0,0,0,1040,0,0,1040,1,0,1,0,3,1,1,5,0,0,0,1,10,1,1,384,0,0,0,0,0,0,0,0,0,0,2,2008,0,0,7.72294815120879,0,0,0,1
12,0,11924,0,1,0,0,0,10,0,0,0,0,9,5,2005,2006,1,0,5,2,2,286.0,2,0,0,2,0,0,0,998,0,0,177,1175,0,0,0,0,1182,1142,0,2324,1,0,3,0,4,1,2,11,0,2,2,2,11,2,3,736,0,0,0,147,21,0,0,0,0,0,7,2006,1,2,8.102102672705655,1,0,21,3
13,0,12968,0,2,0,0,0,9,0,0,0,1,5,6,1962,1962,1,0,3,4,1,0.0,1,0,1,1,0,0,1,737,0,0,175,912,0,2,0,0,912,0,0,912,1,0,1,0,2,1,1,4,0,0,0,1,12,1,1,352,0,0,0,140,0,0,0,176,0,0,9,2008,0,0,7.7654190238326,0,0,176,1
14,0,10652,0,1,0,0,0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2,306.0,0,0,0,0,0,3,2,0,0,0,1494,1494,0,0,0,0,1494,0,0,1494,0,0,2,0,3,1,0,7,0,1,2,0,13,0,3,840,0,0,0,160,33,0,0,0,0,0,8,2007,1,2,8.023043760926313,1,0,33,2
15,0,10920,0,1,0,2,0,11,0,0,0,1,6,5,1960,1960,1,0,1,1,0,212.0,1,0,1,1,0,0,4,733,0,0,520,1253,0,2,0,0,1253,0,0,1253,1,0,1,1,2,1,1,5,0,1,3,0,14,0,1,352,0,0,0,0,213,176,0,0,0,0,5,2008,0,0,7.799749594413466,0,0,389,1
